checkpoint,configuration,seed,sample_id,target_text,predicted_text,normalized_target,normalized_prediction,filename,asr_status,asr_seconds,wer,cer,word_accuracy_proxy,character_accuracy_proxy
2500,greedy,3407,1,"नमस्ते, आपका ऑर्डर सफलतापूर्वक भेज दिया गया है।",नमस्ति आपका आजड़िय बहुग घरे दिया गया गया हा।,नमस्ते आपका ऑर्डर सफलतापूर्वक भेज दिया गया है,नमस्ति आपका आजड़िय बहुग घरे दिया गया गया हा,step_2500/greedy/seed_3407/step2500_greedy_seed3407_01_namaste_order_sent.wav,success,1.5857126712799072,0.75,0.5333333333333333,0.25,0.4666666666666667
2500,greedy,3407,2,आपका रिफंड अगले पाँच कार्य दिवसों में आपके खाते में जमा कर दिया जाएगा।,आनका रिल्म धन्नने पांच चकारेदों में आपके खाते में दबे ले जई आई गरे आई।,आपका रिफंड अगले पाँच कार्य दिवसों में आपके खाते में जमा कर दिया जाएगा,आनका रिल्म धन्नने पांच चकारेदों में आपके खाते में दबे ले जई आई गरे आई,step_2500/greedy/seed_3407/step2500_greedy_seed3407_02_refund_status.wav,success,0.7820565700531006,0.8571428571428571,0.4782608695652174,0.1428571428571429,0.5217391304347826
2500,greedy,3407,3,क्या मैं आपकी किसी और सहायता कर सकता हूँ?,क्या मैं आपके किसी और सर अता कर सकूं।,क्या मैं आपकी किसी और सहायता कर सकता हूँ,क्या मैं आपके किसी और सर अता कर सकूं,step_2500/greedy/seed_3407/step2500_greedy_seed3407_03_further_assistance.wav,success,0.5128324031829834,0.5555555555555556,0.225,0.4444444444444444,0.775
2500,greedy,3407,4,धन्यवाद! आपका दिन शुभ हो।,तन्नावाद आपगा दिन शेह है।,धन्यवाद आपका दिन शुभ हो,तन्नावाद आपगा दिन शेह है,step_2500/greedy/seed_3407/step2500_greedy_seed3407_04_thank_you.wav,success,0.4868028163909912,0.8,0.30434782608695654,0.19999999999999996,0.6956521739130435
2500,greedy,3407,5,कृपया अपना ऑर्डर नंबर बताइए।,कुरेपया अपना आडरन मर बठलाई थे।,कृपया अपना ऑर्डर नंबर बताइए,कुरेपया अपना आडरन मर बठलाई थे,step_2500/greedy/seed_3407/step2500_greedy_seed3407_05_order_number.wav,success,0.5231325626373291,1.0,0.5555555555555556,0.0,0.4444444444444444
2500,greedy,4107,1,"नमस्ते, आपका ऑर्डर सफलतापूर्वक भेज दिया गया है।",नमस्ति आपका आजड़िय बहुग घरे दिया गया गया हा।,नमस्ते आपका ऑर्डर सफलतापूर्वक भेज दिया गया है,नमस्ति आपका आजड़िय बहुग घरे दिया गया गया हा,step_2500/greedy/seed_4107/step2500_greedy_seed4107_01_namaste_order_sent.wav,success,0.618302583694458,0.75,0.5333333333333333,0.25,0.4666666666666667
2500,greedy,4107,2,आपका रिफंड अगले पाँच कार्य दिवसों में आपके खाते में जमा कर दिया जाएगा।,आनका रिल्म धन्नने पांच चकारेदों में आपके खाते में दबे ले जई आई गरे आई।,आपका रिफंड अगले पाँच कार्य दिवसों में आपके खाते में जमा कर दिया जाएगा,आनका रिल्म धन्नने पांच चकारेदों में आपके खाते में दबे ले जई आई गरे आई,step_2500/greedy/seed_4107/step2500_greedy_seed4107_02_refund_status.wav,success,0.7860305309295654,0.8571428571428571,0.4782608695652174,0.1428571428571429,0.5217391304347826
2500,greedy,4107,3,क्या मैं आपकी किसी और सहायता कर सकता हूँ?,क्या मैं आपके किसी और सर अता कर सकूं।,क्या मैं आपकी किसी और सहायता कर सकता हूँ,क्या मैं आपके किसी और सर अता कर सकूं,step_2500/greedy/seed_4107/step2500_greedy_seed4107_03_further_assistance.wav,success,0.5271224975585938,0.5555555555555556,0.225,0.4444444444444444,0.775
2500,greedy,4107,4,धन्यवाद! आपका दिन शुभ हो।,तन्नावाद आपगा दिन शेह है।,धन्यवाद आपका दिन शुभ हो,तन्नावाद आपगा दिन शेह है,step_2500/greedy/seed_4107/step2500_greedy_seed4107_04_thank_you.wav,success,0.4865715503692627,0.8,0.30434782608695654,0.19999999999999996,0.6956521739130435
2500,greedy,4107,5,कृपया अपना ऑर्डर नंबर बताइए।,कुरेपया अपना आडरन मर बठलाई थे।,कृपया अपना ऑर्डर नंबर बताइए,कुरेपया अपना आडरन मर बठलाई थे,step_2500/greedy/seed_4107/step2500_greedy_seed4107_05_order_number.wav,success,0.523430347442627,1.0,0.5555555555555556,0.0,0.4444444444444444
2500,greedy,5107,1,"नमस्ते, आपका ऑर्डर सफलतापूर्वक भेज दिया गया है।",नमस्ति आपका आजड़िय बहुग घरे दिया गया गया हा।,नमस्ते आपका ऑर्डर सफलतापूर्वक भेज दिया गया है,नमस्ति आपका आजड़िय बहुग घरे दिया गया गया हा,step_2500/greedy/seed_5107/step2500_greedy_seed5107_01_namaste_order_sent.wav,success,0.6242153644561768,0.75,0.5333333333333333,0.25,0.4666666666666667
